,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,26.0,OKC,56.0,56.0,1514.0,256.0,433.0,0.591,1.0,3.0,0.333,255.0,430.0,0.593,0.592,102.0,173.0,0.59,190.0,336.0,526.0,139.0,47.0,62.0,85.0,110.0,615.0
1,Bam Adebayo,PF,22.0,MIA,62.0,62.0,2131.0,385.0,681.0,0.565,1.0,13.0,0.077,384.0,668.0,0.575,0.566,225.0,326.0,0.69,156.0,494.0,650.0,313.0,75.0,80.0,173.0,151.0,996.0
2,LaMarcus Aldridge,C,34.0,SAS,52.0,52.0,1717.0,381.0,770.0,0.495,60.0,153.0,0.392,321.0,617.0,0.52,0.534,155.0,187.0,0.829,103.0,287.0,390.0,127.0,33.0,83.0,73.0,127.0,977.0
3,Nickeil Alexander-Walker,SG,21.0,NOP,41.0,0.0,501.0,77.0,227.0,0.339,40.0,117.0,0.342,37.0,110.0,0.336,0.427,17.0,28.0,0.607,8.0,72.0,80.0,74.0,11.0,7.0,40.0,46.0,211.0
4,Grayson Allen,SG,24.0,MEM,30.0,0.0,498.0,79.0,176.0,0.449,33.0,91.0,0.363,46.0,85.0,0.541,0.543,30.0,35.0,0.857,5.0,61.0,66.0,43.0,6.0,1.0,23.0,36.0,221.0
5,Jarrett Allen,C,21.0,BRK,61.0,57.0,1587.0,257.0,399.0,0.644,0.0,5.0,0.0,257.0,394.0,0.652,0.644,141.0,227.0,0.621,190.0,394.0,584.0,83.0,35.0,83.0,69.0,141.0,655.0
6,Kadeem Allen,SG,27.0,NYK,10.0,0.0,117.0,19.0,44.0,0.432,5.0,16.0,0.313,14.0,28.0,0.5,0.489,7.0,11.0,0.636,2.0,7.0,9.0,21.0,5.0,2.0,8.0,7.0,50.0
7,Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,380.0,25.0,86.0,0.291,9.0,36.0,0.25,16.0,50.0,0.32,0.343,19.0,29.0,0.655,24.0,63.0,87.0,21.0,18.0,8.0,17.0,27.0,78.0
8,Justin Anderson,SF,26.0,BRK,3.0,0.0,17.0,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0
9,Kyle Anderson,PF,26.0,MEM,56.0,17.0,1060.0,131.0,267.0,0.491,13.0,56.0,0.232,118.0,211.0,0.559,0.515,39.0,60.0,0.65,52.0,191.0,243.0,122.0,45.0,27.0,51.0,81.0,314.0
10,Ryan Anderson,PF,31.0,HOU,2.0,0.0,14.0,2.0,7.0,0.286,1.0,5.0,0.2,1.0,2.0,0.5,0.357,0.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,1.0,1.0,5.0
11,Giannis Antetokounmpo,PF,25.0,MIL,56.0,56.0,1727.0,613.0,1118.0,0.548,82.0,265.0,0.309,531.0,853.0,0.623,0.585,350.0,556.0,0.629,129.0,643.0,772.0,323.0,58.0,58.0,207.0,168.0,1658.0
12,Kostas Antetokounmpo,PF,22.0,LAL,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13,Thanasis Antetokounmpo,SF,27.0,MIL,17.0,1.0,73.0,16.0,30.0,0.533,0.0,5.0,0.0,16.0,25.0,0.64,0.533,4.0,9.0,0.444,8.0,5.0,13.0,6.0,4.0,1.0,8.0,11.0,36.0
14,Carmelo Anthony,PF,35.0,POR,47.0,47.0,1534.0,275.0,646.0,0.426,68.0,186.0,0.366,207.0,460.0,0.45,0.478,109.0,128.0,0.852,60.0,242.0,302.0,69.0,38.0,21.0,84.0,136.0,727.0
15,OG Anunoby,SF,22.0,TOR,61.0,60.0,1825.0,260.0,514.0,0.506,79.0,209.0,0.378,181.0,305.0,0.593,0.583,57.0,82.0,0.695,72.0,262.0,334.0,98.0,86.0,41.0,72.0,149.0,656.0
16,Ryan Arcidiacono,PG,25.0,CHI,58.0,4.0,930.0,90.0,220.0,0.409,54.0,138.0,0.391,36.0,82.0,0.439,0.532,27.0,38.0,0.711,20.0,90.0,110.0,96.0,27.0,3.0,37.0,96.0,261.0
17,Trevor Ariza,SF,34.0,TOT,50.0,18.0,1391.0,129.0,297.0,0.434,68.0,189.0,0.36,61.0,108.0,0.565,0.549,53.0,63.0,0.841,31.0,197.0,228.0,86.0,67.0,14.0,50.0,105.0,379.0
18,Trevor Ariza,SF,34.0,SAC,32.0,0.0,791.0,64.0,165.0,0.388,43.0,122.0,0.352,21.0,43.0,0.488,0.518,21.0,27.0,0.778,21.0,125.0,146.0,50.0,35.0,7.0,28.0,63.0,192.0
19,Trevor Ariza,SF,34.0,POR,18.0,18.0,600.0,65.0,132.0,0.492,25.0,67.0,0.373,40.0,65.0,0.615,0.587,32.0,36.0,0.889,10.0,72.0,82.0,36.0,32.0,7.0,22.0,42.0,187.0
20,D.J. Augustin,PG,32.0,ORL,46.0,6.0,1138.0,140.0,368.0,0.38,53.0,161.0,0.329,87.0,207.0,0.42,0.452,120.0,136.0,0.882,16.0,86.0,102.0,211.0,29.0,1.0,62.0,49.0,453.0
21,Deandre Ayton,C,21.0,PHO,30.0,25.0,996.0,255.0,465.0,0.548,0.0,3.0,0.0,255.0,462.0,0.552,0.548,60.0,78.0,0.769,123.0,237.0,360.0,57.0,22.0,51.0,71.0,97.0,570.0
23,Dwayne Bacon,SG,24.0,CHO,39.0,11.0,687.0,85.0,244.0,0.348,19.0,67.0,0.284,66.0,177.0,0.373,0.387,35.0,53.0,0.66,15.0,85.0,100.0,52.0,23.0,2.0,37.0,52.0,224.0
24,Marvin Bagley,PF,20.0,SAC,13.0,6.0,334.0,78.0,167.0,0.467,4.0,22.0,0.182,74.0,145.0,0.51,0.479,25.0,31.0,0.806,29.0,68.0,97.0,10.0,6.0,12.0,18.0,43.0,185.0
25,Lonzo Ball,PG,22.0,NOP,54.0,45.0,1746.0,246.0,603.0,0.408,132.0,348.0,0.379,114.0,255.0,0.447,0.517,37.0,64.0,0.578,60.0,274.0,334.0,376.0,77.0,29.0,161.0,103.0,661.0
26,Mo Bamba,C,21.0,ORL,57.0,0.0,834.0,127.0,269.0,0.472,35.0,98.0,0.357,92.0,171.0,0.538,0.537,30.0,43.0,0.698,92.0,193.0,285.0,39.0,20.0,84.0,42.0,111.0,319.0
27,J.J. Barea,PG,35.0,DAL,23.0,4.0,355.0,72.0,169.0,0.426,28.0,69.0,0.406,44.0,100.0,0.44,0.509,17.0,18.0,0.944,10.0,35.0,45.0,91.0,4.0,2.0,34.0,20.0,189.0
28,Harrison Barnes,PF,27.0,SAC,62.0,62.0,2161.0,316.0,688.0,0.459,87.0,233.0,0.373,229.0,455.0,0.503,0.523,193.0,240.0,0.804,56.0,240.0,296.0,148.0,37.0,9.0,80.0,80.0,912.0
29,RJ Barrett,SG,19.0,NYK,52.0,51.0,1581.0,268.0,670.0,0.4,58.0,180.0,0.322,210.0,490.0,0.429,0.443,138.0,231.0,0.597,48.0,213.0,261.0,133.0,47.0,16.0,113.0,116.0,732.0
30,Will Barton,SF,29.0,DEN,55.0,55.0,1809.0,309.0,692.0,0.447,98.0,261.0,0.375,211.0,431.0,0.49,0.517,100.0,130.0,0.769,74.0,271.0,345.0,203.0,56.0,26.0,84.0,116.0,816.0
31,Keita Bates-Diop,SF,24.0,TOT,39.0,0.0,665.0,89.0,208.0,0.428,31.0,94.0,0.33,58.0,114.0,0.509,0.502,49.0,69.0,0.71,21.0,91.0,112.0,30.0,17.0,21.0,14.0,38.0,258.0
32,Keita Bates-Diop,SF,24.0,MIN,37.0,0.0,646.0,87.0,206.0,0.422,31.0,94.0,0.33,56.0,112.0,0.5,0.498,46.0,65.0,0.708,21.0,89.0,110.0,30.0,17.0,20.0,14.0,36.0,251.0
33,Keita Bates-Diop,SF,24.0,DEN,2.0,0.0,19.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0
34,Nicolas Batum,SF,31.0,CHO,22.0,3.0,505.0,28.0,81.0,0.346,14.0,49.0,0.286,14.0,32.0,0.438,0.432,9.0,10.0,0.9,25.0,75.0,100.0,66.0,17.0,8.0,22.0,41.0,79.0
35,Aron Baynes,C,33.0,PHO,39.0,25.0,831.0,160.0,328.0,0.488,45.0,136.0,0.331,115.0,192.0,0.599,0.556,48.0,66.0,0.727,62.0,150.0,212.0,64.0,8.0,20.0,44.0,131.0,413.0
36,Kent Bazemore,SF-SG,30.0,TOT,62.0,21.0,1553.0,176.0,478.0,0.368,75.0,222.0,0.338,101.0,256.0,0.395,0.447,107.0,140.0,0.764,24.0,240.0,264.0,80.0,67.0,39.0,82.0,177.0,534.0
37,Kent Bazemore,SF,30.0,POR,43.0,21.0,1111.0,113.0,326.0,0.347,56.0,171.0,0.327,57.0,155.0,0.368,0.433,58.0,72.0,0.806,13.0,159.0,172.0,61.0,45.0,31.0,60.0,121.0,340.0
